127.0.0.1_29001 -> 12:48:57.149731 raft.go:185: logger initialized
127.0.0.1_29001 -> 12:48:57.149896 main.go:44: Replica  0 , escucha en  127.0.0.1:29001
127.0.0.1_29001 -> 12:48:57.149888 raft.go:249: handleEstado
127.0.0.1_29001 -> 12:48:57.150034 raft.go:268: STARTS AS FOLLOWER
127.0.0.1_29001 -> 12:48:57.229300 raft.go:297: STARTS AS CANDIDATE
127.0.0.1_29001 -> 12:48:57.229562 raft.go:848: PIDIENDO VOTO A 1
127.0.0.1_29001 -> 12:48:57.229590 raft.go:850: error en timeout pidiendo voto desde 0 al 1
127.0.0.1_29001 -> 12:48:57.229574 raft.go:848: PIDIENDO VOTO A 2
127.0.0.1_29001 -> 12:48:57.229630 raft.go:850: error en timeout pidiendo voto desde 0 al 2
127.0.0.1_29001 -> 12:48:57.498136 raft.go:297: STARTS AS CANDIDATE
127.0.0.1_29001 -> 12:48:57.498362 raft.go:848: PIDIENDO VOTO A 2
127.0.0.1_29001 -> 12:48:57.498388 raft.go:850: error en timeout pidiendo voto desde 0 al 2
127.0.0.1_29001 -> 12:48:57.498498 raft.go:848: PIDIENDO VOTO A 1
127.0.0.1_29001 -> 12:48:57.498539 raft.go:850: error en timeout pidiendo voto desde 0 al 1
127.0.0.1_29001 -> 12:48:57.731933 raft.go:297: STARTS AS CANDIDATE
127.0.0.1_29001 -> 12:48:57.732148 raft.go:848: PIDIENDO VOTO A 2
127.0.0.1_29001 -> 12:48:57.732180 raft.go:850: error en timeout pidiendo voto desde 0 al 2
127.0.0.1_29001 -> 12:48:57.732410 raft.go:848: PIDIENDO VOTO A 1
127.0.0.1_29001 -> 12:48:57.732433 raft.go:850: error en timeout pidiendo voto desde 0 al 1
127.0.0.1_29001 -> 12:48:57.957911 raft.go:297: STARTS AS CANDIDATE
127.0.0.1_29001 -> 12:48:57.958341 raft.go:848: PIDIENDO VOTO A 2
127.0.0.1_29001 -> 12:48:57.958377 raft.go:850: error en timeout pidiendo voto desde 0 al 2
127.0.0.1_29001 -> 12:48:57.958361 raft.go:848: PIDIENDO VOTO A 1
127.0.0.1_29001 -> 12:48:57.958424 raft.go:850: error en timeout pidiendo voto desde 0 al 1
127.0.0.1_29001 -> 12:48:58.230240 raft.go:297: STARTS AS CANDIDATE
127.0.0.1_29001 -> 12:48:58.230505 raft.go:848: PIDIENDO VOTO A 1
127.0.0.1_29001 -> 12:48:58.230537 raft.go:850: error en timeout pidiendo voto desde 0 al 1
127.0.0.1_29001 -> 12:48:58.230518 raft.go:848: PIDIENDO VOTO A 2
127.0.0.1_29001 -> 12:48:58.230593 raft.go:850: error en timeout pidiendo voto desde 0 al 2
127.0.0.1_29001 -> 12:48:58.525967 raft.go:297: STARTS AS CANDIDATE
127.0.0.1_29001 -> 12:48:58.526174 raft.go:848: PIDIENDO VOTO A 2
127.0.0.1_29001 -> 12:48:58.526206 raft.go:850: error en timeout pidiendo voto desde 0 al 2
127.0.0.1_29001 -> 12:48:58.526230 raft.go:848: PIDIENDO VOTO A 1
127.0.0.1_29001 -> 12:48:58.526264 raft.go:850: error en timeout pidiendo voto desde 0 al 1
127.0.0.1_29001 -> 12:48:58.758568 raft.go:297: STARTS AS CANDIDATE
127.0.0.1_29001 -> 12:48:58.758845 raft.go:848: PIDIENDO VOTO A 1
127.0.0.1_29001 -> 12:48:58.758905 raft.go:850: error en timeout pidiendo voto desde 0 al 1
127.0.0.1_29001 -> 12:48:58.758846 raft.go:848: PIDIENDO VOTO A 2
127.0.0.1_29001 -> 12:48:58.758923 raft.go:850: error en timeout pidiendo voto desde 0 al 2
127.0.0.1_29001 -> 12:48:58.956026 raft.go:297: STARTS AS CANDIDATE
127.0.0.1_29001 -> 12:48:58.956355 raft.go:848: PIDIENDO VOTO A 2
127.0.0.1_29001 -> 12:48:58.956395 raft.go:850: error en timeout pidiendo voto desde 0 al 2
127.0.0.1_29001 -> 12:48:58.956360 raft.go:848: PIDIENDO VOTO A 1
127.0.0.1_29001 -> 12:48:58.956411 raft.go:850: error en timeout pidiendo voto desde 0 al 1
127.0.0.1_29001 -> 12:48:59.224320 raft.go:678: EJECUTANDO PEDIRVOTO_RPC, PEDIDO POR 1
127.0.0.1_29001 -> 12:48:59.226350 raft.go:691: NO SE ENVIA VOTO A 1 EN MANDATO 9
127.0.0.1_29001 -> 12:48:59.251028 raft.go:297: STARTS AS CANDIDATE
127.0.0.1_29001 -> 12:48:59.251391 raft.go:848: PIDIENDO VOTO A 2
127.0.0.1_29001 -> 12:48:59.251416 raft.go:850: error en timeout pidiendo voto desde 0 al 2
127.0.0.1_29001 -> 12:48:59.252517 raft.go:848: PIDIENDO VOTO A 1
127.0.0.1_29001 -> 12:48:59.252547 raft.go:856: SI SE HA RECIBIDO UN VOTO DE 1
127.0.0.1_29001 -> 12:48:59.252567 raft.go:347: STARTS AS LEADER
127.0.0.1_29001 -> 12:48:59.312756 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.312759 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.373216 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.374589 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.433602 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.436025 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.494372 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.497814 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.555254 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.559299 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.615488 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.620918 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.676185 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.682598 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.736751 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.743955 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.797792 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.805213 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.858611 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.866043 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.919520 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.927174 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:48:59.980558 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:48:59.988905 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.041157 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.050609 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.102147 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.111440 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.162785 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.173216 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.223635 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.235069 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.284390 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.296858 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.345516 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.358027 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.405862 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.419215 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.466134 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.480628 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.526739 raft.go:442: TICKER representante de nodo 2
